state,ArgentinaTTO,ArgentinaVAS,Australia,Belgium,Brazil,Canada,Chile,China,DenmarkTTO,DenmarkVAS,Europe,Finland,GermanyTTO,GermanyVAS,France,Italy,Japan,Korea,Malaysia,Netherlands,NewZealand,Poland,Portugal,Slovenia,Singapore,SpainTTO,SpainVAS,SriLanka,Sweden,Taiwan,Thailand,Trinidad_and_Tobago,UKTTO,UKVAS,USA,Zimbabwe
13121,0.37,0.521,0.561,0.342,0.569,0.62,0.404,0.639,0.632,0.473,0.394,0.588,0.39,0.424,0.388,0.656,0.666,0.727,0.603,0.457,0.357,0.659,0.334,0.575,0.2168,0.287,0.376,0.454,0.4742,0.228,0.345,0.671,0.313,0.401,0.496,0.602
13122,0.436,0.515,0.464,0.239,0.519,0.557,0.304,0.553,0.564,0.382,0.305,0.428,0.39,0.347,0.298,0.604,0.603,0.684,0.522,0.333,0.265,0.633,0.297,0.482,0.0667,0.225,0.325,0.41,0.419,0.074,0.313,0.66,0.242,0.338,0.468,0.556
13123,0.219,0.43,0.268,0.136,0.474,0.34,0.132,0.434,0.265,0.291,0.265,0.392,0.325,0.199,0.184,0.486,0.554,0.569,0.517,0.132,0.173,0.452,0.172,0.389,-0.0616,0.143,0.273,0.26,0.2665,-0.054,0.235,0.532,0.077,0.277,0.321,0.429
13131,0.207,0.31,0.269,0.258,0.465,0.367,0.197,0.495,0.298,0.395,0.324,0.546,0.187,0.203,0.235,0.42,0.552,0.613,0.53,0.214,0.277,0.227,-0.029,0.464,0.1339,0.115,0.316,0.211,0.4183,0.088,0.208,0.505,0.05,0.314,0.268,0.367
13132,0.195,0.423,0.172,0.155,0.415,0.304,0.097,0.409,0.23,0.304,0.235,0.386,0.187,0.166,0.145,0.368,0.489,0.57,0.449,0.09,0.185,0.201,0.175,0.371,-0.0162,0.053,0.265,0.167,0.3631,-0.066,0.176,0.494,-0.021,0.251,0.251,0.321
13133,0.045,0.237,0.154,0.052,0.37,0.087,-0.021,0.29,-0.069,0.213,0.195,0.35,0.122,0.095,0.031,0.25,0.44,0.455,0.444,-0.111,0.093,0.02,-0.123,0.278,-0.1445,-0.029,0.214,0.017,0.2106,-0.194,0.098,0.366,-0.186,0.19,0.123,0.194
13211,0.389,0.497,0.575,0.395,0.536,0.593,0.388,0.657,0.646,0.487,0.461,0.652,0.502,0.383,0.344,0.669,0.702,0.713,0.604,0.511,0.423,0.67,0.342,0.632,0.1075,0.305,0.38,0.392,0.4075,0.264,0.358,0.692,0.4,0.454,0.529,0.626
13212,0.455,0.491,0.478,0.292,0.486,0.53,0.288,0.571,0.578,0.396,0.372,0.492,0.502,0.313,0.254,0.617,0.639,0.67,0.523,0.387,0.331,0.644,0.305,0.539,-0.0426,0.243,0.329,0.348,0.3523,0.11,0.326,0.681,0.329,0.391,0.501,0.58
13213,0.238,0.406,0.283,0.189,0.441,0.313,0.116,0.452,0.279,0.305,0.332,0.456,0.437,0.179,0.14,0.499,0.59,0.555,0.518,0.186,0.239,0.463,0.18,0.446,-0.1709,0.161,0.278,0.198,0.1998,-0.018,0.248,0.553,0.164,0.33,0.354,0.453
13221,0.406,0.457,0.508,0.311,0.472,0.548,0.278,0.565,0.584,0.409,0.368,0.541,0.39,0.373,0.232,0.614,0.622,0.676,0.55,0.425,0.343,0.613,0.232,0.521,-0.0387,0.216,0.321,0.335,0.373,0.143,0.286,0.628,0.277,0.37,0.485,0.559
