_Y3_1,_Y3_2,_Y3_3,_Y3_4,_Y3_5,_age5grp,_male,_U3UK,_EUUKcopula
1,1,3,1,3,18-34,0,.3200000000000001,.6054487603800216
1,1,3,2,1,18-34,0,.4330000000000001,.8250119962885432
1,1,3,2,2,18-34,0,.362,.7226894035713192
1,1,3,2,3,18-34,0,.1970000000000001,.486548417342355
1,1,3,3,1,18-34,0,.17,.4716846675084992
1,1,3,3,2,18-34,0,.099,.3722555908061691
1,1,3,3,3,18-34,0,-.0659999999999999,.1955301714245799
1,2,1,1,1,18-34,0,.8150000000000001,.9313669471147765
1,2,1,1,2,18-34,0,.7440000000000001,.8400693186339818
1,2,1,1,3,18-34,0,.3100000000000001,.6499458291318639
1,2,1,2,1,18-34,0,.6920000000000001,.8332339515529927
1,2,1,2,2,18-34,0,.6210000000000001,.7457658285394465
1,2,1,2,3,18-34,0,.1870000000000001,.5661725622944215
1,2,1,3,1,18-34,0,.16,.6799196164835157
1,2,1,3,2,18-34,0,.089,.5697521898428067
1,2,1,3,3,18-34,0,-.076,.3372445867767785
1,2,2,1,1,18-34,0,.779,.8266618950949589
1,2,2,1,2,18-34,0,.7080000000000001,.7411489878801791
1,2,2,1,3,18-34,0,.274,.5666030667392821
1,2,2,2,1,18-34,0,.656,.7609864991508377
1,2,2,2,2,18-34,0,.5850000000000001,.676430102755858
1,2,2,2,3,18-34,0,.151,.5024212679416095
1,2,2,3,1,18-34,0,.124,.5724234854298526
1,2,2,3,2,18-34,0,.053,.4780712510744284
1,2,2,3,3,18-34,0,-.112,.2826519712452338
1,2,3,1,1,18-34,0,.4520000000000001,.6897023933668622
1,2,3,1,2,18-34,0,.3810000000000001,.5837922416838368
1,2,3,1,3,18-34,0,.2160000000000001,.3766698936198591
1,2,3,2,1,18-34,0,.3290000000000001,.6121753755028712
1,2,3,2,2,18-34,0,.2580000000000001,.5175355815835935
1,2,3,2,3,18-34,0,.0930000000000001,.3204924319395526
1,2,3,3,1,18-34,0,.0660000000000001,.3511425594961667
1,2,3,3,2,18-34,0,-.0049999999999999,.2551782557232849
1,2,3,3,3,18-34,0,-.1699999999999999,.1104330912879465
1,3,1,1,1,18-34,0,.4360000000000001,.961433012984896
